time: seconds_since_epoche, state (zero_velocity/pass_through/capping), command.linear.x, command.linear.y, command.linear.z, command.angular.x, command.angular.y, command.angular.z, msg.linear.x, msg.linear.y, msg.linear.z, msg.angular.x, msg.angular.y, msg.angular.z

1642508551.21,zero_velocity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1642508551.3,pass_through,0.2,0.0,0.0,0.0,0.0,-0.631578947368,0.2,0.0,0.0,0.0,0.0,-0.631578947368
1642508551.36,pass_through,0.2,0.0,0.0,0.0,0.0,-0.631578947368,0.2,0.0,0.0,0.0,0.0,-0.631578947368
1642508551.42,pass_through,0.2,0.0,0.0,0.0,0.0,-0.631578947368,0.2,0.0,0.0,0.0,0.0,-0.631578947368
1642508551.49,pass_through,0.16,0.0,0.0,0.0,0.0,-0.491228070175,0.16,0.0,0.0,0.0,0.0,-0.491228070175
1642508551.57,pass_through,0.16,0.0,0.0,0.0,0.0,-0.491228070175,0.16,0.0,0.0,0.0,0.0,-0.491228070175
1642508551.68,pass_through,0.2,0.0,0.0,0.0,0.0,-0.631578947368,0.2,0.0,0.0,0.0,0.0,-0.631578947368
1642508551.73,pass_through,0.2,0.0,0.0,0.0,0.0,-0.491228070175,0.2,0.0,0.0,0.0,0.0,-0.491228070175
1642508551.77,pass_through,0.2,0.0,0.0,0.0,0.0,-0.491228070175,0.2,0.0,0.0,0.0,0.0,-0.491228070175
1642508551.84,pass_through,0.2,0.0,0.0,0.0,0.0,-0.350877192982,0.2,0.0,0.0,0.0,0.0,-0.350877192982
1642508551.91,pass_through,0.16,0.0,0.0,0.0,0.0,-0.350877192982,0.16,0.0,0.0,0.0,0.0,-0.350877192982
1642508551.97,pass_through,0.2,0.0,0.0,0.0,0.0,-0.350877192982,0.2,0.0,0.0,0.0,0.0,-0.350877192982
1642508552.04,pass_through,0.2,0.0,0.0,0.0,0.0,-0.350877192982,0.2,0.0,0.0,0.0,0.0,-0.350877192982
1642508552.11,pass_through,0.2,0.0,0.0,0.0,0.0,-0.350877192982,0.2,0.0,0.0,0.0,0.0,-0.350877192982
1642508552.17,pass_through,0.2,0.0,0.0,0.0,0.0,-0.350877192982,0.2,0.0,0.0,0.0,0.0,-0.350877192982
1642508552.24,pass_through,0.16,0.0,0.0,0.0,0.0,-0.210526315789,0.16,0.0,0.0,0.0,0.0,-0.210526315789
1642508552.31,pass_through,0.2,0.0,0.0,0.0,0.0,-0.350877192982,0.2,0.0,0.0,0.0,0.0,-0.350877192982
1642508552.38,pass_through,0.2,0.0,0.0,0.0,0.0,-0.210526315789,0.2,0.0,0.0,0.0,0.0,-0.210526315789
